Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
17/01/29,transport,transport,2017-01-29T11:37:08+09:00,2017-01-29T11:53:40+09:00,992,7.342,0,0
17/01/29,walking,walking,2017-01-29T11:54:38+09:00,2017-01-29T11:59:06+09:00,268,0.302,403,15
17/01/29,walking,walking,2017-01-29T12:00:00+09:00,2017-01-29T12:00:21+09:00,21,0.013,27,1
17/01/29,walking,walking,2017-01-29T12:00:57+09:00,2017-01-29T12:09:05+09:00,488,0.503,584,25
17/01/29,walking,walking,2017-01-29T12:09:06+09:00,2017-01-29T12:11:05+09:00,119,0.060,110,3
17/01/29,walking,walking,2017-01-29T12:11:06+09:00,2017-01-29T12:11:43+09:00,37,0.027,55,1
17/01/29,walking,walking,2017-01-29T12:14:06+09:00,2017-01-29T12:26:59+09:00,773,1.004,1196,50
17/01/29,walking,walking,2017-01-29T15:51:45+09:00,2017-01-29T15:52:18+09:00,33,0.025,50,1
17/01/29,walking,walking,2017-01-29T15:53:31+09:00,2017-01-29T16:06:49+09:00,798,1.276,1269,63
17/01/29,walking,walking,2017-01-29T16:14:56+09:00,2017-01-29T16:25:22+09:00,626,0.640,977,32
17/01/29,transport,transport,2017-01-29T16:25:23+09:00,2017-01-29T16:29:58+09:00,275,7.438,0,0
17/01/29,walking,walking,2017-01-29T16:29:58+09:00,2017-01-29T16:30:10+09:00,12,0.009,19,0
17/01/29,transport,transport,2017-01-29T16:41:44+09:00,2017-01-29T17:04:56+09:00,1392,25.341,0,0
17/01/29,walking,walking,2017-01-29T17:04:56+09:00,2017-01-29T17:26:14+09:00,1278,1.328,1795,66
17/01/29,walking,walking,2017-01-29T23:26:36+09:00,2017-01-29T23:47:00+09:00,1224,1.084,2036,54
