Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
17/01/30,Place in Yashio-shi,2017-01-30T00:00:00+09:00,2017-01-30T00:07:08+09:00,428,35.807511,139.83432,,
17/01/30,Place in Yashio-shi,2017-01-30T00:07:09+09:00,2017-01-30T00:18:47+09:00,698,35.806793,139.83422,,
17/01/30,Place in Yashio-shi,2017-01-30T00:18:48+09:00,2017-01-30T08:07:39+09:00,28131,35.807511,139.83432,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T09:02:29+09:00,2017-01-30T09:14:39+09:00,730,35.654806,139.79651,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T09:15:34+09:00,2017-01-30T09:41:59+09:00,1585,35.654989,139.7983,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T09:47:07+09:00,2017-01-30T10:18:01+09:00,1854,35.654487,139.79873,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T10:18:02+09:00,2017-01-30T11:04:31+09:00,2789,35.655653,139.79774,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T11:04:31+09:00,2017-01-30T12:35:05+09:00,5434,35.654487,139.79873,,
17/01/30,豊洲センタービルアネックス,2017-01-30T12:35:05+09:00,2017-01-30T19:05:11+09:00,23406,35.65570605948,139.79714071182,,
17/01/30,Place in Yashio-shi,2017-01-30T20:02:04+09:00,2017-01-30T20:04:31+09:00,147,35.805142,139.83771,,
17/01/30,Place in Yashio-shi,2017-01-30T20:13:11+09:00,2017-01-31T00:00:00+09:00,13609,35.807511,139.83432,,
