Date,Type,Name,Start,End,Duration
17/01/29,move,transport,2017-01-29T11:37:08+09:00,2017-01-29T11:53:40+09:00,992
17/01/29,place,Place in Chuo-ku,2017-01-29T11:53:41+09:00,2017-01-29T12:00:57+09:00,436
17/01/29,move,walking,2017-01-29T12:00:57+09:00,2017-01-29T12:09:05+09:00,488
17/01/29,move,walking,2017-01-29T12:09:06+09:00,2017-01-29T12:11:05+09:00,119
17/01/29,place,Place in Chuo-ku,2017-01-29T12:11:06+09:00,2017-01-29T12:14:06+09:00,180
17/01/29,move,walking,2017-01-29T12:14:06+09:00,2017-01-29T12:26:59+09:00,773
17/01/29,place,晴海　トリトンスクエア,2017-01-29T12:27:10+09:00,2017-01-29T15:30:14+09:00,10984
17/01/29,place,Place in Chuo-ku,2017-01-29T15:30:15+09:00,2017-01-29T15:53:31+09:00,1396
17/01/29,move,walking,2017-01-29T15:53:31+09:00,2017-01-29T16:06:49+09:00,798
17/01/29,place,Place in Chuo-ku,2017-01-29T16:06:50+09:00,2017-01-29T16:14:56+09:00,486
17/01/29,move,walking,2017-01-29T16:14:56+09:00,2017-01-29T16:25:22+09:00,626
17/01/29,move,transport,2017-01-29T16:25:23+09:00,2017-01-29T16:29:58+09:00,275
17/01/29,place,Place in Nerima,2017-01-29T16:29:58+09:00,2017-01-29T16:41:44+09:00,706
17/01/29,move,transport,2017-01-29T16:41:44+09:00,2017-01-29T17:04:56+09:00,1392
17/01/29,move,walking,2017-01-29T17:04:56+09:00,2017-01-29T17:26:14+09:00,1278
17/01/29,place,自宅,2017-01-29T17:26:15+09:00,2017-01-29T23:26:36+09:00,21621
17/01/29,move,walking,2017-01-29T23:26:36+09:00,2017-01-29T23:47:00+09:00,1224
17/01/29,place,Place in Yashio-shi,2017-01-29T23:52:42+09:00,2017-01-30T00:00:00+09:00,438
