Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
17/01/29,Place in Chuo-ku,2017-01-29T11:53:41+09:00,2017-01-29T12:00:57+09:00,436,35.65905,139.77785,,
17/01/29,Place in Chuo-ku,2017-01-29T12:11:06+09:00,2017-01-29T12:14:06+09:00,180,35.660988,139.77593,,
17/01/29,晴海　トリトンスクエア,2017-01-29T12:27:10+09:00,2017-01-29T15:30:14+09:00,10984,35.657547264497,139.78112825415,,
17/01/29,Place in Chuo-ku,2017-01-29T15:30:15+09:00,2017-01-29T15:53:31+09:00,1396,35.658048,139.7841,,
17/01/29,Place in Chuo-ku,2017-01-29T16:06:50+09:00,2017-01-29T16:14:56+09:00,486,35.655883,139.77464,,
17/01/29,Place in Nerima,2017-01-29T16:29:58+09:00,2017-01-29T16:41:44+09:00,706,35.737497,139.65464,,
17/01/29,自宅,2017-01-29T17:26:15+09:00,2017-01-29T23:26:36+09:00,21621,35.80751120934108,139.83432323831636,Home,
17/01/29,Place in Yashio-shi,2017-01-29T23:52:42+09:00,2017-01-30T00:00:00+09:00,438,35.807511,139.83432,,
17/01/30,Place in Yashio-shi,2017-01-30T00:00:00+09:00,2017-01-30T00:07:08+09:00,428,35.807511,139.83432,,
17/01/30,Place in Yashio-shi,2017-01-30T00:07:09+09:00,2017-01-30T00:18:47+09:00,698,35.806793,139.83422,,
17/01/30,Place in Yashio-shi,2017-01-30T00:18:48+09:00,2017-01-30T08:07:39+09:00,28131,35.807511,139.83432,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T09:02:29+09:00,2017-01-30T09:14:39+09:00,730,35.654806,139.79651,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T09:15:34+09:00,2017-01-30T09:41:59+09:00,1585,35.654989,139.7983,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T09:47:07+09:00,2017-01-30T10:18:01+09:00,1854,35.654487,139.79873,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T10:18:02+09:00,2017-01-30T11:04:31+09:00,2789,35.655653,139.79774,,
17/01/30,"Place in Toyosu, Koto-ku",2017-01-30T11:04:31+09:00,2017-01-30T12:35:05+09:00,5434,35.654487,139.79873,,
17/01/30,豊洲センタービルアネックス,2017-01-30T12:35:05+09:00,2017-01-30T19:05:11+09:00,23406,35.65570605948,139.79714071182,,
17/01/30,Place in Yashio-shi,2017-01-30T20:02:04+09:00,2017-01-30T20:04:31+09:00,147,35.805142,139.83771,,
17/01/30,Place in Yashio-shi,2017-01-30T20:13:11+09:00,2017-01-31T00:00:00+09:00,13609,35.807511,139.83432,,
17/01/31,Place in Yashio-shi,2017-01-31T00:00:00+09:00,2017-01-31T14:38:38+09:00,52718,35.807511,139.83432,,
17/01/31,Place in Yashio-shi,2017-01-31T14:46:53+09:00,2017-01-31T14:50:28+09:00,215,35.805142,139.83771,,
17/01/31,Place in Yashio-shi,2017-01-31T19:36:09+09:00,2017-02-01T00:00:00+09:00,15831,35.807511,139.83432,,
